Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,4.5,1.0,9.0,20.5,1.0,9.0,NA,NA,NA
2,Line,4.5,1.0,0.0,20.5,1.0,0.0,NA,NA,NA
3,3_point_arc_1,4.5,1.0,-0.0,-0.0,1.0,4.5,4.5,1.0,9.0
4,3_point_arc_2,20.5,1.0,9.0,25.0,1.0,4.5,20.5,1.0,-0.0
